s,x,y,kappa,altitude (m)
2071.804712,250.8411342,45.88577121,-0.026183411,4.759
2072.804617,251.0656776,44.91117778,-0.026690939,4.716
2073.804523,251.2669039,43.93207344,-0.02723192,4.671
2074.804429,251.4454112,42.94903394,-0.027806357,4.624
2075.804335,251.6034133,41.96195057,-0.028412658,4.575
2076.80424,251.7433978,40.97059886,-0.029048036,4.525
2077.804146,251.8648247,39.97500672,-0.029709141,4.473
2078.804052,251.9484387,38.9767624,-0.0303922,4.421
2079.803958,251.9678396,37.9780498,-0.031092352,4.367
2080.803863,251.9067436,36.98066725,-0.031802957,4.314
2081.803769,251.8183808,35.98375929,-0.032515234,4.262
2082.803675,251.7833012,34.9854014,-0.033218,4.209
2083.803581,251.8094018,33.98542149,-0.03389783,4.156
2084.803486,251.8122352,32.98586937,-0.034539804,4.103
2085.803392,251.7579614,31.98740341,-0.035128261,4.051
2086.803298,251.6686326,30.98936664,-0.035647068,4.001
2087.803204,251.5370954,29.9969339,-0.036079508,3.952
2088.803109,251.323219,29.02143123,-0.036408521,3.906
2089.803015,251.0086945,28.07126301,-0.036617696,3.867
2090.802921,250.6147859,27.14939621,-0.036692831,3.833
2091.802827,250.1648622,26.25634042,-0.036623583,3.805
2092.802732,249.6750196,25.38442191,-0.03640486,3.782
2093.802638,249.1561946,24.52666248,-0.036037853,3.763
2094.802544,248.5924903,23.69981913,-0.035530365,3.751
2095.80245,247.9566107,22.93073767,-0.034896169,3.747
2096.802355,247.2663823,22.206479,-0.034153458,3.75
2097.802261,246.585139,21.47394013,-0.033322954,3.756
2098.802167,245.9364184,20.7132709,-0.032426234,3.763
2099.802073,245.2853138,19.95361646,-0.031484486,3.772
2100.801978,244.6047556,19.21950031,-0.030517428,3.787
2101.801884,243.8886524,18.52121304,-0.02954243,3.809
2102.80179,243.1340966,17.86611642,-0.028574087,3.837
2103.801696,242.3494513,17.2461509,-0.027624611,3.871
2104.801601,241.5496247,16.64430152,-0.026704526,3.919
2105.801507,240.7467219,16.0469828,-0.025822877,4.038
2106.801413,239.9380172,15.45881667,-0.024986868,4.16
2107.801319,239.1160295,14.89026265,-0.024201693,4.287
2108.801224,238.2748593,14.34983902,-0.023470855,4.416
2109.80113,237.4157802,13.83725983,-0.022796408,4.548
2110.801036,236.5420957,13.3497478,-0.022178438,4.683
2111.800942,235.6572147,12.8838582,-0.021614492,4.82
2112.800847,234.7651591,12.43227616,-0.021099631,4.96
2113.800753,233.8701707,11.98629506,-0.020626834,5.104
2114.800659,232.975883,11.53849526,-0.020187765,5.252
2115.800565,232.0804998,11.09295594,-0.019774183,5.404
2116.80047,231.1793715,10.65979819,-0.019378646,5.559
2117.800376,230.2679645,10.24892574,-0.018993089,5.715
