s,velocity,energy,time
88.40911143,28.45088442,1.183277927,12.9
89.19915998,28.4417481,1.183277927,13
89.98894405,28.43222641,1.183277927,13.1
90.77845284,28.42231648,1.183277927,13.2
91.56768657,28.41241423,1.183277927,13.3
92.3566344,28.40212179,1.183277927,13.4
93.14528547,28.39143849,1.183277927,13.5
93.93362893,28.38036455,1.183277927,13.6
94.72165396,28.36890122,1.183277927,13.7
95.50936081,28.35744672,1.183277927,13.8
96.29673873,28.34560481,1.183277927,13.9
97.08377702,28.33337871,1.183277927,14
97.87046514,28.32077229,1.183277927,14.1
98.65679265,28.30779021,1.183277927,14.2
99.44275982,28.29481809,1.183277927,14.3
100.2283564,28.28147552,1.183277927,14.4
101.0135722,28.26776878,1.183277927,14.5
101.7983973,28.25370461,1.183277927,14.6
102.582822,28.23929042,1.183277927,14.7
103.3668467,28.22488722,1.183277927,14.8
104.1504617,28.21014183,1.183277927,14.9
104.9336579,28.19506294,1.183277927,15
105.7164262,28.17965966,1.183277927,15.1
106.498767,28.16426809,1.183277927,15.2
107.2806715,28.1485616,1.183277927,15.3
108.0621312,28.13255047,1.183277927,15.4
108.8431381,28.11624528,1.183277927,15.5
109.6236841,28.09965707,1.183277927,15.6
110.4037697,28.08308141,1.183277927,15.7
111.1833873,28.06623402,1.183277927,15.8
111.9625297,28.04912686,1.183277927,15.9
112.74119,28.03177214,1.183277927,16
113.5193687,28.01443048,1.183277927,16.1
114.297059,27.99685364,1.183277927,16.2
115.074255,27.97905456,1.183277927,16.3
115.8509507,27.96104634,1.183277927,16.4
116.6271408,27.94284231,1.183277927,16.5
117.4028256,27.92465191,1.183277927,16.6
118.178,27.90627915,1.183277927,16.7
118.9526594,27.88773783,1.183277927,16.8
119.7267994,27.86904182,1.183277927,16.9
120.5004205,27.85035976,1.183277927,17
121.2735188,27.83153679,1.183277927,17.1
122.0460906,27.81258707,1.183277927,17.2
122.818133,27.79352475,1.183277927,17.3
123.5896431,27.77436402,1.183277927,17.4
124.3606214,27.75521751,1.183277927,17.5
125.1310654,27.73598677,1.183277927,17.6
125.9009734,27.71668613,1.183277927,17.7
126.6703437,27.69732986,1.183277927,17.8
127.4391767,27.67798789,1.183277927,17.9
128.2074712,27.65860446,1.183277927,18
128.9752266,27.63919379,1.183277927,18.1
129.7424425,27.61977006,1.183277927,18.2
130.5091191,27.60036062,1.183277927,18.3
131.2752567,27.58095223,1.183277927,18.4
132.0408556,27.56155904,1.183277927,18.5
132.8059165,27.54219511,1.183277927,18.6
133.5704408,27.52287448,1.183277927,18.7
134.3344288,27.503568,1.183277927,18.8
135.0978821,27.48431879,1.183277927,18.9
135.8608027,27.4651408,1.183277927,19
136.6231929,27.44604793,1.183277927,19.1
137.3850532,27.42696898,1.183277927,19.2
