s,x,y,kappa,heading,track_width_left,track_width_right,normal_x,normal_y
2844.0,446.18707019815855,-358.17333941106307,-0.00034091343068274644,4.235009864696888,5.99998829292587,5.999988292925921,0.8882021447929432,-0.4594528811371361
2845.0,445.7258351281167,-359.06061742590805,-0.00033266273008875145,4.234312792735447,5.999994831100818,5.999994831100842,0.8878816573049956,-0.4600719102720079
2846.0,445.26460773718856,-359.9478993858002,-0.00032243141573217886,4.233710201959287,5.999998541932579,5.999998541932605,0.8876042610304186,-0.4606068560069906
2847.0,444.80337829072056,-360.8351802896849,-0.0003103176610104749,4.233216136342268,5.999999867586916,5.999999867586942,0.8873765826966922,-0.4610453345187872
2848.0,444.3421493944774,-361.7224614762405,-0.0002964397242480632,4.232840030869603,5.999999915137725,5.999999915137698,0.8872031182652506,-0.46137904909132577
2849.0,443.88092035095076,-362.6097425871312,-0.00028093594257017735,4.232585857986759,5.999999462280104,5.999999462280232,0.8870858195651513,-0.4616045371597035
2850.0,443.419691346849,-363.49702371827544,-0.0002639647258507674,4.232451264541494,5.999999066398658,5.999999066398811,0.8870236825853771,-0.46172392891497016
2851.0,442.95846233219373,-364.3843048439986,-0.00024570455364200173,4.232426743933972,5.999998982445026,5.999998982445075,0.8870123605674676,-0.4617456791357432
2852.0,442.4972333203633,-365.271585971173,-0.00022635396648789177,4.232494676298428,5.999999205999816,5.999999205999737,0.8870437259965094,-0.4616854212234012
2853.0,442.0360043077769,-366.1588670979589,-0.00020613158544952986,4.232628860241965,5.999999566171186,5.999999566171239,0.8871056687810595,-0.46156639004211447
2854.0,441.5747752953929,-367.0461482248486,-0.00018527603473147982,4.232792210047329,5.999999858830475,5.999999858830475,0.8871810537253092,-0.46142147534640154
2855.0,441.11354628295464,-367.93342935171046,-0.00016404623441946636,4.232941296675426,5.999999986193686,5.999999986193584,0.8872498356373373,-0.4612892033871139
2856.0,440.65231727053094,-368.82071047857994,-0.00014272032058470615,4.233005356792134,5.999999999957176,5.999999999957228,0.8872793840570192,-0.46123236511263643
2857.0,440.1910882581034,-369.7079916054473,-0.00012159969267549084,4.233009936105455,5.999999999998111,5.999999999998111,0.8872814961752302,-0.46122830197749715
2858.0,439.72985924567683,-370.5952727323152,-0.00010099393819858139,4.233008921069523,5.999999999999905,5.9999999999997256,0.8872810280114728,-0.4612292025998612
2859.0,439.26863023325006,-371.4825538591831,-8.12742508789939e-05,4.233009192774407,5.999999999999918,5.999999999999968,0.8872811533296678,-0.46122896152125403
2860.0,438.8074012208233,-372.3698349860508,-6.252830239166079e-05,4.233009120044441,5.999999999999976,5.99999999999995,0.8872811197844988,-0.4612290260531811
2861.0,438.34617220839647,-373.2571161129187,-4.5093851751951125e-05,4.233009139513046,6.0000000000000515,5.999999999999977,0.8872811287639839,-0.46122900877905626
2862.0,437.88494319596975,-374.1443972397865,-2.9938652179787426e-05,4.233009134300633,5.999999999999977,6.000000000000025,0.8872811263598679,-0.4612290134039316
2863.0,437.423714183543,-375.0316783666543,-1.822332320248251e-05,4.233009135699893,6.000000000000027,5.999999999999977,0.8872811270052473,-0.4612290121623944
